datetime,Content_Service,Media_Service,rps,n_containers,hour,minute,second,dayofweek,is_weekend,is_peak,hour_sin,hour_cos,dow_sin,dow_cos,day_pos,day_pos_sin,day_pos_cos,lag_30s,lag_1m,lag_2m,lag_5m,lag_10m,lag_30m,lag_1h,lag_6h,lag_24h,roll_1m_mean,roll_1m_std,roll_1m_max,roll_5m_mean,roll_5m_std,roll_5m_max,roll_15m_mean,roll_15m_std,roll_15m_max,roll_30m_mean,roll_30m_std,roll_30m_max,roll_1h_mean,roll_1h_std,roll_1h_max,diff_1,diff_2,diff_10,pct_chg_1,same_time_yesterday
1995-08-29 00:00:30,6,15,15,2,0,0,30,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0003,0.0022,1.0000,21.0000,21.0000,24.0000,21.0000,27.0000,21.0000,12.0000,33.0000,18.0000,18.0000,4.2426,21.0000,21.0000,4.8990,30.0000,22.6000,5.1502,33.0000,23.4500,5.1959,36.0000,23.5750,6.4530,42.0000,-6.0000,-6.0000,-6.0000,-0.2857,18.0000
1995-08-29 00:01:00,6,15,15,2,0,1,0,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0007,0.0044,1.0000,15.0000,21.0000,15.0000,24.0000,18.0000,21.0000,27.0000,33.0000,18.0000,15.0000,0.0000,15.0000,20.1000,5.1088,30.0000,22.2000,5.2614,33.0000,23.3500,5.3005,36.0000,23.4750,6.4924,42.0000,0.0000,-6.0000,-9.0000,0.0000,18.0000
1995-08-29 00:01:30,6,12,12,2,0,1,30,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0010,0.0065,1.0000,15.0000,15.0000,21.0000,15.0000,24.0000,18.0000,21.0000,66.0000,12.0000,13.5000,2.1213,15.0000,19.8000,5.5136,30.0000,21.5000,5.1712,30.0000,23.2500,5.4575,36.0000,23.4000,6.5727,42.0000,-3.0000,-3.0000,-3.0000,-0.2000,12.0000
1995-08-29 00:02:00,6,12,12,2,0,2,0,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0014,0.0087,1.0000,12.0000,15.0000,21.0000,21.0000,18.0000,18.0000,24.0000,42.0000,24.0000,12.0000,0.0000,12.0000,18.9000,6.0083,30.0000,21.2000,5.4545,30.0000,23.1500,5.6082,36.0000,23.3000,6.6542,42.0000,0.0000,-3.0000,-9.0000,0.0000,24.0000
1995-08-29 00:02:30,6,15,15,2,0,2,30,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0017,0.0109,0.9999,12.0000,12.0000,15.0000,24.0000,27.0000,36.0000,24.0000,21.0000,18.0000,13.5000,2.1213,15.0000,18.0000,5.8310,30.0000,21.0000,5.5709,30.0000,22.8000,5.4456,33.0000,23.2250,6.6969,42.0000,3.0000,3.0000,-9.0000,0.2500,18.0000
1995-08-29 00:03:00,6,18,21,3,0,3,0,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0021,0.0131,0.9999,15.0000,12.0000,15.0000,30.0000,12.0000,30.0000,18.0000,24.0000,18.0000,18.0000,4.2426,21.0000,17.1000,4.2544,24.0000,20.7000,5.3055,30.0000,22.6500,5.3673,33.0000,23.2500,6.6828,42.0000,6.0000,9.0000,-9.0000,0.4000,18.0000
1995-08-29 00:03:30,6,15,18,2,0,3,30,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0024,0.0153,0.9999,21.0000,15.0000,12.0000,24.0000,27.0000,24.0000,18.0000,24.0000,21.0000,19.5000,2.1213,21.0000,16.5000,3.5355,21.0000,20.6000,5.3279,30.0000,22.5500,5.3975,33.0000,23.2500,6.6828,42.0000,-3.0000,3.0000,-6.0000,-0.1429,21.0000
1995-08-29 00:04:00,6,15,21,3,0,4,0,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0028,0.0175,0.9998,18.0000,21.0000,12.0000,15.0000,18.0000,24.0000,24.0000,18.0000,21.0000,19.5000,2.1213,21.0000,17.1000,3.7550,21.0000,20.4000,5.1902,30.0000,22.5000,5.3977,33.0000,23.2250,6.6856,42.0000,3.0000,0.0000,6.0000,0.1667,21.0000
1995-08-29 00:04:30,6,15,18,2,0,4,30,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0031,0.0196,0.9998,21.0000,18.0000,15.0000,21.0000,24.0000,30.0000,24.0000,30.0000,36.0000,19.5000,2.1213,21.0000,16.8000,3.5214,21.0000,20.0000,4.8778,30.0000,22.3000,5.3371,33.0000,23.1750,6.7021,42.0000,-3.0000,0.0000,-3.0000,-0.1429,36.0000
1995-08-29 00:05:00,3,9,12,2,0,5,0,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0035,0.0218,0.9998,18.0000,21.0000,21.0000,21.0000,24.0000,24.0000,24.0000,18.0000,30.0000,15.0000,4.2426,18.0000,15.9000,3.4785,21.0000,19.8000,5.0814,30.0000,22.1000,5.4948,33.0000,23.0750,6.7788,42.0000,-6.0000,-9.0000,-9.0000,-0.3333,30.0000
1995-08-29 00:05:30,9,9,15,2,0,5,30,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0038,0.0240,0.9997,12.0000,18.0000,18.0000,15.0000,21.0000,24.0000,15.0000,36.0000,27.0000,13.5000,2.1213,15.0000,15.9000,3.4785,21.0000,19.4000,4.9661,30.0000,21.9500,5.5645,33.0000,23.0750,6.7788,42.0000,3.0000,-3.0000,0.0000,0.2500,27.0000
1995-08-29 00:06:00,9,33,36,4,0,6,0,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0042,0.0262,0.9997,15.0000,12.0000,21.0000,15.0000,24.0000,27.0000,18.0000,36.0000,21.0000,25.5000,14.8492,36.0000,18.0000,7.2111,36.0000,20.0000,5.8072,36.0000,22.1000,5.8184,36.0000,23.2250,6.8642,42.0000,21.0000,24.0000,21.0000,1.4000,21.0000
1995-08-29 00:06:30,6,24,24,3,0,6,30,1,0,0,0.0000,1.0000,0.7818,0.6235,0.0045,0.0284,0.9996,36.0000,15.0000,18.0000,12.0000,15.0000,18.0000,18.0000,36.0000,39.0000,30.0000,8.4853,36.0000,19.2000,7.0993,36.0000,20.0000,5.8072,36.0000,22.2000,5.7983,36.0000,23.2750,6.8476,42.0000,-12.0000,9.0000,12.0000,-0.3333,39.0000
